ts_code,name,benchmark,list_date,p0,p1,total_return,cagr
512070.SH,易方达沪深300非银行金融ETF,沪深300非银行金融指数×100%,20140718,1.702,2.309104,0.3567003525264396,0.030975616107556725
512810.SH,华宝中证军工ETF,中证军工指数×100%,20160822,0.967,1.2869052,0.3308223371251293,0.028992023350208562
159920.SZ,华夏恒生ETF(QDII),香港恒生指数×100%,20121022,1.231,1.6026384000000002,0.3018995938261577,0.026733539829401742
159936.SZ,广发中证全指可选消费ETF,中证全指可选消费指数×100%,20140625,1.509,1.906,0.26308813783962903,0.023630848944872662
159931.SZ,汇添富中证金融地产ETF,中证金融地产指数×100%,20130916,1.493,1.842,0.23375753516409903,0.021228630297244644
159918.SZ,嘉实中创400ETF,中小板创业板400指数×100%,20120511,2.101,2.48,0.1803902903379344,0.016722800294469264
512010.SH,易方达沪深300医药卫生ETF,沪深300医药卫生指数×100%,20131028,1.284,1.51514,0.18001557632398746,0.016690519893699296
512660.SH,国泰中证军工ETF,中证军工指数×100%,20160808,1.001,1.107,0.10589410589410608,0.010116242019733601
510900.SH,易方达恒生中国企业ETF(QDII),恒生中国企业指数×100%,20121022,1.038,1.10979,0.06916184971098271,0.006709913623748065
512120.SH,华安中证细分医药ETF,中证细分医药产业主题指数×100%,20140106,1.421,1.4764580999999999,0.039027515833919724,0.003835857618788019
159938.SZ,广发中证全指医药卫生ETF,中证全指医药卫生指数×100%,20150108,1.306,1.326,0.015313935681470214,0.0015209415511008295
512880.SH,国泰中证全指证券公司ETF,中证全指证券公司指数×100%,20160808,1.051,1.063,0.011417697431018059,0.0011359454443444772
159929.SZ,汇添富中证医药卫生ETF,中证医药卫生指数×100%,20130916,1.448,1.362,-0.05939226519337004,-0.006104201818107113
510810.SH,汇添富中证上海国企ETF,中证上海国企指数×100%,20160829,1.014,0.9242049999999999,-0.08855522682445771,-0.009229571171273876
