ts_code,name,market,publisher,category,base_date,list_date,discovery_market
000118.SH,380价值,SSE,中证指数有限公司、上海证券交易所,风格指数,20031231,20111018,SSE
000119.SH,380R成长,SSE,中证指数有限公司、上海证券交易所,风格指数,20031231,20111018,SSE
000120.SH,380R价值,SSE,中证指数有限公司、上海证券交易所,风格指数,20031231,20111018,SSE
000121.SH,医药主题,SSE,中证指数有限公司、上海证券交易所,主题指数,20031231,20111018,SSE
000122.SH,上证农业,SSE,中证指数有限公司、上海证券交易所,主题指数,20110630,20111018,SSE
000123.SH,180动态,SSE,中证指数有限公司、上海证券交易所,策略指数,20020628,20130208,SSE
000125.SH,180稳定,SSE,中证指数有限公司、上海证券交易所,策略指数,20020628,20130208,SSE
000126.SH,消费50,SSE,中证指数有限公司、上海证券交易所,主题指数,20041231,20111209,SSE
000128.SH,380基本,SSE,中证指数有限公司、上海证券交易所,策略指数,20031231,20120109,SSE
000129.SH,180波动,SSE,中证指数有限公司、上海证券交易所,策略指数,20020628,20120109,SSE
000130.SH,380波动,SSE,中证指数有限公司、上海证券交易所,策略指数,20031231,20120109,SSE
000131.SH,上证高新,SSE,中证指数有限公司、上海证券交易所,主题指数,20110630,20120210,SSE
000132.SH,上证100,SSE,中证指数有限公司、上海证券交易所,规模指数,20031231,20120420,SSE
000133.SH,上证150,SSE,中证指数有限公司、上海证券交易所,规模指数,20031231,20120420,SSE
000134.SH,上证银行,SSE,中证指数有限公司、上海证券交易所,主题指数,20071231,20120529,SSE
000135.SH,180高贝,SSE,中证指数有限公司、上海证券交易所,策略指数,20020628,20120806,SSE
000136.SH,180低贝,SSE,中证指数有限公司、上海证券交易所,策略指数,20020628,20120806,SSE
000137.SH,380高贝,SSE,中证指数有限公司、上海证券交易所,策略指数,20031231,20120806,SSE
000138.SH,380低贝,SSE,中证指数有限公司、上海证券交易所,策略指数,20031231,20120806,SSE
000139.SH,上证转债,SSE,中证指数有限公司、上海证券交易所,债券指数,20021231,20120912,SSE
000141.SH,380动态,SSE,中证指数有限公司、上海证券交易所,策略指数,20031231,20130208,SSE
000142.SH,380稳定,SSE,中证指数有限公司、上海证券交易所,策略指数,20031231,20130208,SSE
000145.SH,优势资源,SSE,中证指数有限公司、上海证券交易所,主题指数,20031231,20120529,SSE
000146.SH,优势制造,SSE,中证指数有限公司、上海证券交易所,主题指数,20031231,20120529,SSE
000147.SH,优势消费,SSE,中证指数有限公司、上海证券交易所,主题指数,20031231,20120529,SSE
000148.SH,消费领先,SSE,中证指数有限公司、上海证券交易所,主题指数,20041231,20120529,SSE
000149.SH,180红利,SSE,中证指数有限公司、上海证券交易所,策略指数,20041231,20120720,SSE
000150.SH,380红利,SSE,中证指数有限公司、上海证券交易所,策略指数,20041231,20120720,SSE
000151.SH,上国红利,SSE,中证指数有限公司、上海证券交易所,策略指数,20090630,20120720,SSE
000152.SH,上央红利,SSE,中证指数有限公司、上海证券交易所,策略指数,20081231,20120720,SSE
