ts_code,indx_name,indx_csname,pub_party_name,api,p0,p1,price_return,cagr
399373.SZ,国证大盘价值指数,大盘价值,深圳证券信息有限公司,index_daily,5758.255,7993.7164,0.3882185488485661,0.03334605140986602
H11054.CSI,中证装备产业指数,装备产业,中证指数有限公司,index_daily,1945.2427,2699.8832,0.3879415663659862,0.033325431857094134
399348.SZ,深证300价值指数,深证价值,深圳证券信息有限公司、深圳证券交易所,index_daily,4657.94,6454.8832,0.3857806669901289,0.033164439616625074
000044.SH,上证中盘指数,上证中盘,中证指数有限公司、上海证券交易所,index_daily,3270.0664,4523.9678,0.3834482993984465,0.03299041883980025
399808.SZ,中证新能源指数,中证新能,中证指数有限公司,index_daily,1782.195,2463.8913,0.3825037664228661,0.03291987096254245
950047.CSI,上证1-5年期地方政府债指数,上证1-5年地债,中证指数有限公司,index_daily,114.974,158.86,0.3817036895298067,0.03286007867575225
931268.CSI,中证可持续发展100指数,持续发展,中证指数有限公司,index_daily,1606.9615,2220.0192,0.3815011747325623,0.0328449391600758
H30366.CSI,中证高股息策略指数,高息策略,中证指数有限公司、上海证券交易所,index_daily,3862.4618,5317.5075,0.37671458653649337,0.03248652263734808
399324.SZ,深证红利指数,深证红利,深圳证券信息有限公司、深圳证券交易所,index_daily,6099.551,8387.9651,0.37517746798083973,0.032371186302815325
H00140.CSI,上证5年期国债指数(全价),5年国债(全),中证指数有限公司,index_daily,149.1332,204.6691,0.37239125828454034,0.03216182943382084
000155.SH,上证市值百强指数,市值百强,中证指数有限公司,index_daily,2295.0144,3141.42,0.3688018689555934,0.03189155678074873
000056.SH,上证国有企业100指数,上证国企,中证指数有限公司、上海证券交易所,index_daily,914.0867,1251.0712,0.3686570431448135,0.031880638352699275
930931.CSI,中证港股通50指数,港股通50,中证指数有限公司,index_daily,2917.8771,3987.1814,0.3664665314382156,0.031715368592688975
000010.SH,上证180指数,上证180,中证指数有限公司、上海证券交易所,index_daily,7130.0869,9737.9437,0.3657538591850822,0.03166154747657757
930721.CSI,中证智能汽车主题指数,CS智汽车,中证指数有限公司,index_daily,3345.7319,4569.2682,0.3657006408672494,0.03165752740703853
000939.CSI,中证民企成长指数,民企成长,中证指数有限公司,index_daily,1950.3243,2659.1437,0.36343668588859823,0.031486379332727354
931588.CSI,中证智选1000价值稳健策略指数,1000价值稳健,中证指数有限公司,index_daily,24412.5997,33268.7672,0.36277035665316726,0.031435958162598254
931265.CSI,中证民企300指数,民企300,中证指数有限公司,index_daily,1708.5925,2327.0361,0.3619608537436514,0.03137467317235343
931587.CSI,中证智选500价值稳健策略指数,500价值稳健,中证指数有限公司,index_daily,15498.9109,21096.6565,0.3611702548725537,0.03131478769715956
000067.SH,上证新兴产业指数,上证新兴,中证指数有限公司,index_daily,6711.3782,9079.469,0.3528471693042121,0.030682432413969396
H30270.CSI,中证红利价值指数,红利价值,中证指数有限公司,index_daily,7010.8906,9480.4912,0.35225205197182796,0.030637083726513525
000063.SH,上证周期行业50指数,上证周期,中证指数有限公司,index_daily,2759.6277,3725.1033,0.3498571926930578,0.03045441067659782
H11014.CSI,中证短融指数,中证短融,中证指数有限公司,index_daily,147.8643,199.2804,0.3477249072291284,0.030291520379403192
000919.CSI,沪深300价值指数,300价值,中证指数有限公司,index_daily,3742.4238,5035.8114,0.3456015857958148,0.030129084219508773
930955.CSI,中证红利低波动100指数,红利低波100,中证指数有限公司,index_daily,8311.7304,11184.0244,0.345571121989231,0.030126752030454895
000906.SH,中证800指数,中证800,中证指数有限公司,index_daily,3846.7208,5172.2512,0.34458710910342116,0.030051394309517088
931161.CSI,中证0-4年期地方政府债指数,0-4年地债,中证指数有限公司、上海证券交易所,index_daily,113.74,152.6182,0.34181642342183927,0.029838942583765293
930740.CSI,沪深300红利低波动指数,300红利低波,中证指数有限公司,index_daily,5162.7495,6897.8863,0.33608773774516854,0.029398421164923194
931039.CSI,中证银行AH价格优选指数,银行AH,中证指数有限公司,index_daily,9456.9005,12629.6252,0.3354930825379838,0.029352596347512305
950049.CSI,上证G60战略新兴产业成份指数,G60成指,中证指数有限公司、上海证券交易所,index_daily,1133.3762,1513.2951,0.3352098800027741,0.029330765977091167
000046.SH,上证中小盘指数,上证中小,中证指数有限公司,index_daily,3914.5148,5222.2694,0.3340783383933048,0.029243500669397182
399001.SZ,深证成份指数,深证成指,深圳证券信息有限公司、深圳证券交易所,index_daily,10640.422,14094.1681,0.32458732369825194,0.02850891260872923
931233.CSI,中证港股通央企红利指数,港股通央企红利,中证指数有限公司,index_daily,899.2125,1189.7971,0.32315453799852656,0.028397606194262126
931487.CSI,中证沪港深人工智能50指数,SHS人工智能50,中证指数有限公司,index_daily,1534.0622,2021.6132,0.3178169698725384,0.027981998490983262
000859.CSI,中证国企一带一路指数,国企一带一路,中证指数有限公司,index_daily,1396.3749,1839.949,0.3176611811054466,0.02796984531858082
931141.CSI,中证长三角一体化发展主题指数,CS长三角,中证指数有限公司,index_daily,1787.4232,2355.1662,0.3176321086131142,0.02796757721334986
930839.CSI,中证港股通高股息精选指数,港股通高息精选,中证指数有限公司,index_daily,2589.6011,3407.2969,0.3157612962089027,0.027821530048660614
000860.SH,中证央企结构调整指数,结构调整,中证指数有限公司,index_daily,936.9781,1231.7991,0.31465089739023777,0.027734757054957315
H30015.CSI,中证800汽车与零部件指数,800汽车,中证指数有限公司,index_daily,5797.5258,7609.4706,0.3125376000914044,0.0275694293779718
932200.CSI,中证国债及政策性金融债0-3年指数,国债及政金债0-3,中证指数有限公司,index_daily,137.315,180.1222,0.31174452900265814,0.027507323936287076
931552.CSI,中证1-3年国债指数,1-3年国债,中证指数有限公司,index_daily,135.39,177.5872,0.31167146761208375,0.027501600794783254
000043.SH,上证超级大盘指数,超大盘,中证指数有限公司、上海证券交易所,index_daily,1932.5064,2532.8313,0.3106457499959636,0.02742122262268354
930840.CSI,中证港股通高股息精选人民币指数,港股通高息精选CNY,中证指数有限公司,index_daily,2821.9529,3695.2979,0.3094824864015271,0.027329997414231366
000015.SH,上证红利指数,红利指数,中证指数有限公司、上海证券交易所,index_daily,2524.0027,3300.4629,0.30763049500699813,0.02718461033964581
000901.SH,中证南方小康产业指数,小康指数,中证指数有限公司,index_daily,4527.7055,5890.0861,0.30089867814945137,0.026654576028098065
931028.CSI,中证港股通非银行金融主题人民币指数,港股通非银CNY,中证指数有限公司,index_daily,3317.7721,4292.6576,0.2938373916641228,0.026095941372323184
000016.SH,上证50指数,上证50,中证指数有限公司、上海证券交易所,index_daily,2229.893,2883.5477,0.2931327646662867,0.026040046237546965
H11057.CSI,中证石化产业指数,石化产业,中证指数有限公司,index_daily,1072.6999,1384.3439,0.29052300648112306,0.02583278589809379
000925.CSI,中证锐联基本面50指数,基本面50,中证指数有限公司,index_daily,3310.5315,4256.4914,0.28574260658749195,0.02545215847280602
H50069.CSI,上证港股通指数,港股通,中证指数有限公司、上海证券交易所,index_daily,2851.1661,3657.9732,0.2829744293045571,0.0252311665499505
000049.SH,上证民营企业50指数,上证民企,中证指数有限公司,index_daily,1556.6178,1989.2771,0.2779483184632734,0.024828817755213617
000061.SH,上证企债30指数,沪企债30,中证指数有限公司,index_daily,143.9398,183.8154,0.2770297026951547,0.024755127093511353
000001.SH,上证综合指数,上证指数,中证指数有限公司、上海证券交易所,index_daily,3067.352,3905.2026,0.27315110883915517,0.02444346232488903
H30022.CSI,中证800银行指数,800银行,中证指数有限公司,index_daily,5714.6802,7264.3303,0.2711700472757863,0.024283944100512267
980016.SZ,国证公共卫生与医疗健康指数,医疗健康,深圳证券信息有限公司,index_daily,4754.4318,6043.0944,0.27104450210012465,0.024273827466353648
399986.SZ,中证银行指数,中证银行,中证指数有限公司,index_daily,5754.3533,7306.3922,0.26971560818137474,0.02416668785964826
930957.CSI,中证港股通中国100指数,港股通中国100,中证指数有限公司,index_daily,2896.1428,3676.1173,0.2693149315703631,0.024134364249601692
H30463.CSI,中证沪港深500医药卫生指数,沪港深500医药,中证指数有限公司,index_daily,6406.5642,8114.3052,0.26656113115981883,0.023911959334614208
000042.SH,上证中央企业50指数,上证央企,中证指数有限公司、上海证券交易所,index_daily,1362.8591,1719.3328,0.2615631359103814,0.02350719266524104
000802.SH,中证500沪市指数,500沪市,中证指数有限公司,index_daily,6365.484,8023.9089,0.26053398296186114,0.023423666736387627
931127.CSI,中证浙江新动能指数,浙江新动能,中证指数有限公司,index_daily,3648.8064,4597.9137,0.26011445825133395,0.0233896005517793
931381.CSI,中证长三角领先指数,中证长三角,中证指数有限公司,index_daily,1654.1323,2079.0184,0.256863432265968,0.02312526463154052
