ts_code,name,benchmark,invest_type,fund_type,list_date,delist_date,status,market,matched_index_name,index_ts_code,p0,p1,etf_max_drawdown,median_amount_60d,ts_code_index,index_p0,index_p1,index_max_drawdown,etf_total_return,etf_cagr,index_price_return,index_cagr,liquid_10m
510230.SH,国泰上证180金融ETF,上证180金融股指数×100%,被动指数型,股票型,20110523.0,,L,E,上证180金融股指数,000018.SH,5.223,8.2175472,-0.3536302253205652,85574.52900000001,000018.SH,4574.1547,5327.8387,-0.3993708757045673,0.5733385410683516,0.04636262364848287,0.16477011588611123,0.015369285306569669,True
510150.SH,招商上证消费80ETF,上证消费80指数×100%,被动指数型,股票型,20110225.0,,L,E,上证消费80指数,000069.SH,3.8,6.0456672,-0.5407897821712886,35027.4755,000069.SH,3642.8211,4332.6175,-0.5828722030443403,0.5909650526315788,0.04752902194583153,0.1893577480376405,0.01749257945566174,True
510170.SH,国联安上证大宗商品股票ETF,上证大宗商品股票指数×100%,被动指数型,股票型,20110125.0,,L,E,上证大宗商品股票指数,000066.SH,1.717,5.6962048,-0.3678665496049166,19287.658499999998,000066.SH,1672.4287,3896.4272,-0.3961158640216883,2.3175333721607454,0.12740908462025202,1.3298016830254111,0.08825806775725153,True
510190.SH,华安上证50ETF,上证50指数收益率×100%,被动指数型,股票型,20110110.0,,L,E,上证50指数,000016.SH,3.11,4.2771375,-0.32399999999999995,1210.089,000016.SH,2229.893,2883.5477,-0.45407895671295795,0.37528536977491966,0.03237928640427401,0.2931327646662867,0.026040046237546965,False
510160.SH,南方中证南方小康产业ETF,中证南方小康产业指数×100%,被动指数型,股票型,20101101.0,,L,E,中证南方小康产业指数,000901.SH,0.478,0.898,-0.2953523238380811,347.97749999999996,000901.SH,4527.7055,5890.0861,-0.29776274111340273,0.878661087866109,0.06508641166239815,0.30089867814945137,0.026654576028098065,False
510030.SH,华宝上证180价值ETF,上证180价值指数×100%,被动指数型,股票型,20100528.0,,L,E,上证180价值指数,000029.SH,3.875,8.456502,-0.24689226519337015,5625.2675,000029.SH,3334.4817,4108.7065,-0.36394992853127994,1.1823230967741938,0.08116481788432406,0.23218744910191003,0.021098593740941363,False
510020.SH,博时上证超级大盘ETF,上证超级大盘指数×100%,被动指数型,股票型,20100319.0,,L,E,上证超级大盘指数,000043.SH,0.2140768,0.3921388,-0.4055288461538462,3233.221,000043.SH,1932.5064,2532.8313,-0.4633706948097438,0.8317669172932329,0.062397453664579494,0.3106457499959636,0.02742122262268354,False
162711.SZ,广发中证500ETF联接(LOF)-A,活期存款利率(税后)×5%+中证小盘500指数×95%,被动指数型,股票型,20100108.0,,L,E,中证小盘500指数,000905.SH,1.325,1.88,-0.3761792452830188,113.69305,000905.SH,6356.9538,7854.3336,-0.4180801038538581,0.4188679245283018,0.03560513953516131,0.2355498949827195,0.02137689392204667,False
510010.SH,交银上证180公司治理ETF,上证180公司治理指数×100%,被动指数型,股票型,20091215.0,,L,E,上证180公司治理指数,000021.SH,0.94,1.754,-0.27216174183514774,44.805,000021.SH,825.8774,1030.3177,-0.3226441460515008,0.8659574468085107,0.06436399157966743,0.24754315834287288,0.022364022121419636,False
160119.SZ,南方中证500ETF联接(LOF)-A,活期存款利率(税后)×5%+中证小盘500指数×95%,被动指数型,股票型,20091111.0,,L,E,中证小盘500指数,000905.SH,1.686686,2.4220200000000003,-0.36950000000000005,936.19735,000905.SH,6356.9538,7854.3336,-0.4180801038538581,0.4359637774902978,0.03684621945498101,0.2355498949827195,0.02137689392204667,False
510060.SH,工银瑞信上证中央企业50ETF,上证中央企业50指数×100%,被动指数型,股票型,20091027.0,,L,E,上证中央企业50指数,000042.SH,1.518,2.613,-0.25962441314553986,357.451,000042.SH,1362.8591,1719.3328,-0.3162646305034559,0.7213438735177866,0.05581241348218069,0.2615631359103814,0.02350719266524104,False
160615.SZ,鹏华沪深300ETF联接(LOF)-A,沪深300指数收益率×95%+银行活期存款利率(税后)×5%,被动指数型,股票型,20090508.0,,L,E,沪深300指数,000300.SH,1.333878,2.6005581,-0.39818027185635596,7.2404,000300.SH,3314.1142,4618.8952,-0.4560262048486471,0.9496221543499483,0.06904268242716882,0.3937042966111428,0.0337536688330049,False
510880.SH,华泰柏瑞上证红利ETF,上海证券交易所上证红利指数×100%,被动指数型,股票型,20070118.0,,L,E,上证红利指数,000015.SH,3.0955785000000002,6.1426632,-0.2340296699969725,777876.8595,000015.SH,2524.0027,3300.4629,-0.29501297463585685,0.9843344951517139,0.0709309951593704,0.30763049500699813,0.02718461033964581,True
159902.SZ,华夏中小企业100ETF,中小企业100指数×100%,被动指数型,股票型,20060905.0,,L,E,中小企业100指数,399005.SZ,3.4622616,4.8287232,-0.5305129165106701,12617.69175,399005.SZ,6872.163,8605.4918,-0.545032166600635,0.3946731234866827,0.033825507255539344,0.2522246343691208,0.02274702367223802,True
159901.SZ,易方达深证100ETF,深证100指数(价格)×100%,被动指数型,股票型,20060424.0,,L,E,深证100指数,399330.SZ,4.2227779000000005,7.7500287,-0.5284223523913523,407295.75285000005,399330.SZ,3787.864,6136.2575,-0.5481829151597477,0.8352915742975728,0.0626017017140128,0.6199783043953002,0.049423825229045315,True
160706.SZ,嘉实沪深300ETF联接(LOF)-A,活期存款利率(税后)×5%+沪深300指数×95%,被动指数型,股票型,20051017.0,,L,E,沪深300指数,000300.SH,3.2826858000000003,5.3173386,-0.39832936491797155,1674.3094,000300.SH,3314.1142,4618.8952,-0.4560262048486471,0.6198134466600489,0.049413145236734346,0.3937042966111428,0.0337536688330049,False
