ts_code,indx_name,indx_csname,pub_party_name,pub_date,base_date,bp,adj_circle,api
931071.CSI,中证人工智能产业指数,人工智能,中证指数有限公司,20181121.0,20141231.0,1000.0,半年,index_daily
931068.CSI,中证消费龙头指数,消费龙头,中证指数有限公司,20181121.0,20041231.0,1000.0,半年,index_daily
930939.CSI,中证500质量成长指数,500质量成长,中证指数有限公司,20181121.0,20041231.0,1000.0,半年,index_daily
930758.CSI,中证浙江凤凰行动50指数,凤凰50,中证指数有限公司,20181121.0,20121231.0,1000.0,半年,index_daily
930740.CSI,沪深300红利低波动指数,300红利低波,中证指数有限公司,20181204.0,20041231.0,1000.0,半年,index_daily
931088.CSI,中证180ESG指数,180ESG,中证指数有限公司,20181210.0,20151231.0,1000.0,半年,index_daily
931078.CSI,中证可转债及可交换债券指数,中证转债及可交换债,中证指数有限公司,20190122.0,20021231.0,100.0,一个月,index_daily
950045.CSI,上证5年期地方政府债指数,上证5年期地债,中证指数有限公司、上海证券交易所,20190129.0,20131231.0,100.0,一个月,index_daily
399295.SZ,创业板低波价值指数,创价值,深圳证券信息有限公司、深圳证券交易所,20190123.0,20121231.0,1000.0,三个月,index_daily
399296.SZ,创业板动量成长指数,创成长,深圳证券信息有限公司、深圳证券交易所,20190123.0,20121231.0,1000.0,三个月,index_daily
CBA08201.OTH,中债-7-10年政策性金融债指数,中债-7-10年政策性金融债指数,中央国债登记结算有限责任公司,20190125.0,20111231.0,100.0,每日,
CBA08301.OTH,中债-1-5年国开行债券指数,中债-1-5年国开行债券指数,中央国债登记结算有限责任公司,20190128.0,20111231.0,100.0,每日,
990001.OTH,中华交易服务半导体芯片行业指数,中华半导体芯片,中华证券交易服务有限公司,20190318.0,20111230.0,2000.0,半年,
931141.CSI,中证长三角一体化发展主题指数,CS长三角,中证指数有限公司,20190320.0,20121231.0,1000.0,半年,index_daily
931139.CSI,中证消费50指数,CS消费50,中证指数有限公司,20190320.0,20041231.0,1000.0,半年,index_daily
931140.CSI,中证医药50指数,医药50,中证指数有限公司,20190320.0,20041231.0,1000.0,半年,index_daily
931865.CSI,中证半导体产业指数,中证半导,中证指数有限公司,20190320.0,20161230.0,1000.0,半年,index_daily
931087.CSI,中证科技龙头指数,科技龙头,中证指数有限公司,20190320.0,20120629.0,1000.0,半年,index_daily
931151.CSI,中证光伏产业指数,光伏产业,中证指数有限公司、上海证券交易所,20190422.0,20121231.0,1000.0,半年,index_daily
931152.CSI,中证创新药产业指数,CS创新药,中证指数有限公司、上海证券交易所,20190422.0,20141231.0,1000.0,半年,index_daily
931079.CSI,中证5G通信主题指数,5G通信,中证指数有限公司、上海证券交易所,20190425.0,20151231.0,1000.0,半年,index_daily
931165.CSI,中证新兴科技100策略指数,新兴科技100,中证指数有限公司、上海证券交易所,20190425.0,20081231.0,1000.0,三个月,index_daily
931166.CSI,中证医药健康100策略指数,医药健康100,中证指数有限公司、上海证券交易所,20190425.0,20081231.0,1000.0,三个月,index_daily
931161.CSI,中证0-4年期地方政府债指数,0-4年地债,中证指数有限公司、上海证券交易所,20190425.0,20131231.0,100.0,三个月,index_daily
950041.CSI,上证投资级可转债及可交换债券指数,上证投资级转债及可交换债,中证指数有限公司、上海证券交易所,20190425.0,20081231.0,100.0,其他,index_daily
980001.SZ,粤港澳大湾区创新100指数,湾创100,深圳证券信息有限公司,20190409.0,20170630.0,1000.0,半年,index_daily
399293.SZ,创业板大盘指数,创业大盘,深圳证券信息有限公司、深圳证券交易所,20190418.0,20121231.0,1000.0,半年,index_daily
000859.CSI,中证国企一带一路指数,国企一带一路,中证指数有限公司,20190516.0,20131231.0,1000.0,半年,index_daily
000861.CSI,中证央企创新驱动指数,央企创新,中证指数有限公司,20190516.0,20121231.0,1000.0,半年,index_daily
931159.CSI,中证研发创新100指数,创新100,中证指数有限公司,20190516.0,20140630.0,1000.0,半年,index_daily
931187.CSI,中证科技100指数,科技100,中证指数有限公司,20190530.0,20140613.0,1000.0,半年,index_daily
931186.CSI,中证科技50策略指数,中证科技,中证指数有限公司,20190530.0,20121231.0,1000.0,半年,index_daily
CBA11901.OTH,中债-0-3年国开行债券指数,中债-0-3年国开行债券指数,中央国债登记结算有限责任公司,20190628.0,20111231.0,100.0,每日,
721812.MI,MSCI中国A股国际通ESG通用指数,MSCI中国A股国际通ESG通用指数,摩根士丹利资本国际公司,20180806.0,20180531.0,1000.0,,
931268.CSI,中证可持续发展100指数,持续发展,中证指数有限公司,20191115.0,20140630.0,1000.0,半年,index_daily
931265.CSI,中证民企300指数,民企300,中证指数有限公司,20191115.0,20090630.0,1000.0,半年,index_daily
931380.CSI,中证科技50指数,科技50,中证指数有限公司,20191125.0,20140630.0,1000.0,半年,index_daily
399291.SZ,国证创业板中盘精选88指数,创精选88,深圳证券信息有限公司,20191106.0,20121231.0,1000.0,半年,index_daily
950049.CSI,上证G60战略新兴产业成份指数,G60成指,中证指数有限公司、上海证券交易所,20191129.0,20160524.0,1000.0,半年,index_daily
931372.CSI,中证浙江国资创新发展指数,浙江国资,中证指数有限公司,20191209.0,20121231.0,1000.0,半年,index_daily
SPCLLHCP.OTH,标普中国A股大盘红利低波50指数,标普中国A股大盘红利低波50指数,标普道琼斯指数有限公司,20190401.0,20090123.0,1000.0,半年,
931403.CSI,中证新华社民族品牌工程指数,品牌工程,中证指数有限公司、上海证券交易所,20200114.0,20170825.0,1000.0,三个月,index_daily
931395.CSI,中证沪港深300指数,沪港深300,中证指数有限公司、上海证券交易所,20200114.0,20141114.0,1000.0,半年,index_daily
931402.CSI,中证证券公司先锋策略指数,证券先锋,中证指数有限公司、上海证券交易所,20200114.0,20131231.0,1000.0,一个月,index_daily
931393.CSI,中证湖北新旧动能转换指数,湖北指数,中证指数有限公司,20200204.0,20121231.0,1000.0,半年,index_daily
