ts_code,name,universe,rebalance_frequency,return_basis,source_code,note,window,status,as_of,start_date,end_date,start_close,end_close,return,cagr
980092.SZ,国证自由现金流,Broad A-share / red-chip,quarterly,price_return,980092.SZ,current rule; changed 2024-08-15,last_15_years,insufficient_history,2026-09-04,,,,,,
932365.CSI,中证全指自由现金流,CSI All Share,quarterly,gross_total_return,932365CNY010.CSI,100 constituents,last_week,ok,2026-09-04,2026-08-28,2026-09-04,8293.658,8198.3633,-0.011490068676571763,-0.4528357972724324
932365.CSI,中证全指自由现金流,CSI All Share,quarterly,gross_total_return,932365CNY010.CSI,100 constituents,last_month,ok,2026-09-04,2026-08-04,2026-09-04,8177.4985,8198.3633,0.0025514893093532276,0.030479284509150828
932365.CSI,中证全指自由现金流,CSI All Share,quarterly,gross_total_return,932365CNY010.CSI,100 constituents,last_6_months,ok,2026-09-04,2026-03-04,2026-09-04,9544.7192,8198.3633,-0.1410576751173569,-0.2605395379767774
932365.CSI,中证全指自由现金流,CSI All Share,quarterly,gross_total_return,932365CNY010.CSI,100 constituents,ytd,ok,2026-09-04,2025-12-31,2026-09-04,8583.5845,8198.3633,-0.04487882655550257,-0.06564574538978085
932365.CSI,中证全指自由现金流,CSI All Share,quarterly,gross_total_return,932365CNY010.CSI,100 constituents,rolling_1_year,ok,2026-09-04,2025-09-04,2026-09-04,7706.8838,8198.3633,0.06377149477717592,0.06381653888139538
932365.CSI,中证全指自由现金流,CSI All Share,quarterly,gross_total_return,932365CNY010.CSI,100 constituents,year_2025,ok,2026-09-04,2024-12-31,2025-12-31,7177.5096,8583.5845,0.19590010719038276,0.19604665417434863
932365.CSI,中证全指自由现金流,CSI All Share,quarterly,gross_total_return,932365CNY010.CSI,100 constituents,since_20240924,ok,2026-09-04,2024-09-24,2026-09-04,6303.2241,8198.3633,0.3006618787359949,0.14480193288493082
932365.CSI,中证全指自由现金流,CSI All Share,quarterly,gross_total_return,932365CNY010.CSI,100 constituents,last_3_years,ok,2026-09-04,2023-09-04,2026-09-04,4952.4445,8198.3633,0.6554175013975425,0.18291226924566772
932365.CSI,中证全指自由现金流,CSI All Share,quarterly,gross_total_return,932365CNY010.CSI,100 constituents,last_5_years,ok,2026-09-04,2021-09-03,2026-09-04,4599.0279,8198.3633,0.782629607443782,0.12251359749641177
932365.CSI,中证全指自由现金流,CSI All Share,quarterly,gross_total_return,932365CNY010.CSI,100 constituents,last_10_years,ok,2026-09-04,2016-09-02,2026-09-04,1788.7296,8198.3633,3.583344123113969,0.16437026042469838
932365.CSI,中证全指自由现金流,CSI All Share,quarterly,gross_total_return,932365CNY010.CSI,100 constituents,last_15_years,insufficient_history,2026-09-04,,,,,,
932366.CSI,300现金流,CSI 300,quarterly,gross_total_return,932366CNY010.CSI,50 constituents,last_week,ok,2026-09-04,2026-08-28,2026-09-04,5414.9389,5392.05,-0.004226991370114952,-0.1983040342646729
932366.CSI,300现金流,CSI 300,quarterly,gross_total_return,932366CNY010.CSI,50 constituents,last_month,ok,2026-09-04,2026-08-04,2026-09-04,5292.9756,5392.05,0.018718091199967146,0.24421240672485478
932366.CSI,300现金流,CSI 300,quarterly,gross_total_return,932366CNY010.CSI,50 constituents,last_6_months,ok,2026-09-04,2026-03-04,2026-09-04,5839.8744,5392.05,-0.0766839095032591,-0.14647023884339627
932366.CSI,300现金流,CSI 300,quarterly,gross_total_return,932366CNY010.CSI,50 constituents,ytd,ok,2026-09-04,2025-12-31,2026-09-04,5276.2319,5392.05,0.021950911596588574,0.03262971249258029
932366.CSI,300现金流,CSI 300,quarterly,gross_total_return,932366CNY010.CSI,50 constituents,rolling_1_year,ok,2026-09-04,2025-09-04,2026-09-04,4840.0915,5392.05,0.11403885649682444,0.11412126180994142
